frame,edge_density,motion_score,activity_index,mean_brightness,color_variance,video_name,source_file
frame_000583.jpg,0.127934,0.028855,0.156789,87.62,47.72,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000584.jpg,0.128158,0.028084,0.156241,87.63,47.76,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000585.jpg,0.128319,0.026821,0.155139,87.65,47.79,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000586.jpg,0.128829,0.026302,0.155131,87.67,47.83,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000587.jpg,0.128715,0.025187,0.153902,87.68,47.84,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000588.jpg,0.128638,0.027627,0.156265,87.69,47.85,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000589.jpg,0.128686,0.030444,0.15913,87.7,47.88,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000590.jpg,0.128802,0.028519,0.157321,87.69,47.89,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000591.jpg,0.128919,0.030424,0.159343,87.71,47.89,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000592.jpg,0.128802,0.02835,0.157152,87.7,47.88,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000593.jpg,0.128889,0.028942,0.157831,87.7,47.86,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000594.jpg,0.128765,0.026982,0.155747,87.68,47.86,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000595.jpg,0.128716,0.028813,0.157529,87.67,47.85,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000596.jpg,0.12846,0.028004,0.156464,87.65,47.85,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000597.jpg,0.128181,0.027531,0.155713,87.61,47.84,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000598.jpg,0.12839,0.027488,0.155878,87.59,47.83,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
